,Song,Artist
0,A Bar Song (Tipsy),Shaboozey
1,Die With A Smile,Lady Gaga & Bruno Mars
2,Birds Of A Feather,Billie Eilish
3,Espresso,Sabrina Carpenter
4,Lose Control,Teddy Swims
5,I Had Some Help,Post Malone Featuring Morgan Wallen
6,Taste,Sabrina Carpenter
7,Beautiful Things,Benson Boone
8,Love Somebody,Morgan Wallen
9,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne"
10,"Good Luck, Babe!",Chappell Roan
11,Too Sweet,Hozier
12,That's So True,Gracie Abrams
13,St. Chroma,"Tyler, The Creator Featuring Daniel Caesar"
14,APT.,ROSE & Bruno Mars
15,Please Please Please,Sabrina Carpenter
16,Not Like Us,Kendrick Lamar
17,I Am Not Okay,Jelly Roll
18,Timeless,The Weeknd & Playboi Carti
19,Hot To Go!,Chappell Roan
20,"Darling, I","Tyler, The Creator Featuring Teezo Touchdown"
21,Lies Lies Lies,Morgan Wallen
22,Tu Boda,Oscar Maydon & Fuerza Regida
23,Stargazing,Myles Smith
24,Rah Tah Tah,"Tyler, The Creator"
25,Sailor Song,Gigi Perez
26,Million Dollar Baby,Tommy Richman
27,"I Love You, I'm Sorry",Gracie Abrams
28,Like Him,"Tyler, The Creator Featuring Lola Young"
29,Whatchu Kno About Me,GloRilla & Sexyy Red
30,Miles On It,Marshmello & Kane Brown
31,Wildflower,Billie Eilish
32,Cowgirls,Morgan Wallen Featuring ERNEST
33,Bed Chem,Sabrina Carpenter
34,The Door,Teddy Swims
35,TGIF,GloRilla
36,Noid,"Tyler, The Creator"
37,Pink Skies,Zach Bryan
38,Thought I Was Dead,"Tyler, The Creator Featuring ScHoolboy Q & Santigold"
39,You Look Like You Love Me,Ella Langley Featuring Riley Green
40,Ain't No Love In Oklahoma,Luke Combs
41,Austin,Dasha
42,I Can Do It With A Broken Heart,Taylor Swift
43,Who,Jimin
44,High Road,Koe Wetzel & Jessie Murph
45,Pink Pony Club,Chappell Roan
46,Wind Up Missin' You,Tucker Wetmore
47,Chill Bae,Lil Uzi Vert
48,Kehlani,Jordan Adetunji
49,Pour Me A Drink,Post Malone Featuring Blake Shelton
50,Dos Dias,Tito Double P & Peso Pluma
51,Judge Judy,"Tyler, The Creator"
52,Dancing In The Flames,The Weeknd
53,Light Year (Practice),Lil Uzi Vert
54,25,Rod Wave
55,Help Me,Real Boston Richey
56,It's Ok I'm Ok,Tate McRae
57,Disease,Lady Gaga
58,Take Your Mask Off,"Tyler, The Creator Featuring Daniel Caesar & Latoiya Williams"
59,Balloon,"Tyler, The Creator Featuring Doechii"
60,Hey Jane,"Tyler, The Creator"
61,Si Antes Te Hubiera Conocido,Karol G
62,Beautiful As You,Thomas Rhett
63,Shake Dat Ass (Twerk Song),BossMan Dlow
64,I Killed You,"Tyler, The Creator"
65,I'm Gonna Love You,Cody Johnson & Carrie Underwood
66,Juno,Sabrina Carpenter
67,Heart Of A Woman,Summer Walker
68,Residuals,Chris Brown
69,Diet Pepsi,Addison Rae
70,La Patrulla,Peso Pluma & Neton Vega
71,I Never Lie,Zach Top
72,Tomorrow,"Tyler, The Creator"
73,El Lokeron,Tito Double P
74,Close To You,Gracie Abrams
75,28,Zach Bryan
76,Sao Paulo,The Weeknd & Anitta
77,Nights Like This,The Kid LAROI
78,Mamushi,Megan Thee Stallion Featuring Yuki Chiba
79,South Of France,Future
80,Guy For That,Post Malone Featuring Luke Combs
81,We Good,Lil Uzi Vert
82,Think I'm In Love With You,Chris Stapleton
83,No One Noticed,The Marias
84,Good Graces,Sabrina Carpenter
85,Or What?,NLE Choppa & 41
86,Apple,Charli xcx
87,Am I Okay?,Megan Moroney
88,Liar,Jelly Roll
89,New Drop,Don Toliver
90,I Luv Her,GloRilla & T-Pain
91,Prove It,21 Savage & Summer Walker
92,I Hope You Find Your Way Home,"Tyler, The Creator"
93,No Pole,Don Toliver
94,2AM,BigXthaPlug
95,Hollon,GloRilla
96,Lonely Road,mgk & Jelly Roll
97,Change Me,BigXthaPlug
98,Him All Along,Gunna
99,Brokey,Latto
